"﻿""Handle""","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item"
"diet-shakes","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/listing-mb-dietshakeTekengebied4.jpg?v=1750095608","4","","","","","",""
"diet-shakes","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-mb-dietshakeTekengebied1_0c998ddd-2150-406a-93f0-8fab3be213aa.jpg?v=1750095612","5","","","","","",""
"diet-shakes","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-mb-dietshakeTekengebied2_00755bec-3b46-418d-ad96-48a79a5c3a38.jpg?v=1750095612","6","","","","","",""
"diet-shakes","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-mb-dietshakeTekengebied3_67b58f88-8e7d-457c-82d9-49f86ae05da0.jpg?v=1750095612","7","","","","","",""
"diet-shakes","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-mb-dietshakeTekengebied4_4025e391-1d67-4ab2-8eb4-c2638d399547.jpg?v=1750095612","8","","","","","",""
"diet-shakes","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-mb-dietshakeTekengebied1_2901dc03-73e0-486e-8032-f0c56ecf5754.jpg?v=1750095615","9","","","","","",""
"diet-shakes","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-mb-dietshakeTekengebied2_52fb1ef2-4752-41d2-983b-b20409ffc30d.jpg?v=1750095615","10","","","","","",""
"diet-shakes","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-mb-dietshakeTekengebied3_bf8b0987-af02-4419-96c2-a9f405e02ea6.jpg?v=1750095615","11","","","","","",""
"diet-shakes","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-mb-dietshakeTekengebied4_5d78cce6-36f8-4146-a630-55acf8c7c59a.jpg?v=1750095615","12","","","","","",""
"eaa-green-apple","EAA - Acides Aminés Essentiels (Green Apple)","<p>Les <strong>MB Nutrition EAA</strong> contiennent les 9 acides aminés essentiels, dont les BCAA – des précurseurs de protéines que votre corps ne peut pas synthétiser seul. Indispensables pour la récupération et la construction musculaire.</p><ul><li>✓ Profil EAA complet avec BCAA intégrés</li><li>✓ Facilement soluble dans toutes vos boissons</li><li>✓ Saveur Green Apple délicieuse</li></ul>","MB Nutrition","eaa","","2026-04-09T09:25:52+02:00","Title","Default Title","","","","","8720254855462","500","","","deny","manual","24.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-eaaTekengebied1.jpg?v=1748162484","1","","","","","",""
"eaa-green-apple","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-eaaTekengebied2.jpg?v=1748162483","2","","","","","",""
"eaa-green-apple","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-eaaTekengebied3.jpg?v=1748162484","3","","","","","",""
"eaa-green-apple","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-eaaTekengebied4.jpg?v=1748162484","4","","","","","",""
"m3-m4-support","Pack M3 + M4 Support","<p>Le <strong>Pack M3 + M4</strong> combine nos deux pré-entraînements emblématiques pour une performance explosive et une récupération optimale. Une synergie parfaite pour repousser vos limites à chaque séance.</p><ul><li>✓ Deux pré-entraînements complémentaires</li><li>✓ Économie exclusive vs achat séparé</li><li>✓ Pour les sportifs les plus exigeants</li></ul>","MB Nutrition","","","2026-03-23T19:45:02+01:00","Title","Default Title","","","","","","0","","","deny","manual","59.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/pwo-combi.jpg?v=1774451813","1","","","","","",""
"m3-pre-workout-strawberry-lemonade-no-cafein","Pré-Entraînement M3 - Strawberry Lemonade (Sans Caféine)","<p><strong>MB Nutrition Pré-Entraînement M3 – Nouvelle formule améliorée</strong></p><p>Le M3 Pre-Workout revisité avec une composition optimisée et des saveurs améliorées. Formulé avec de vraies poudres de fruits, adapté à tous vos objectifs sportifs.</p><ul><li>✓ Dosage élevé pour des résultats optimaux</li><li>✓ Saveur rafraîchissante aux poudres de fruits naturels</li><li>✓ Version sans caféine – à prendre à tout moment</li></ul><p><em>Mission – Votre voie. Mindset – Votre force. Motivation – Votre moteur.</em></p>","MB Nutrition","preworkout","","2026-04-09T09:14:41+02:00","Title","Default Title","","","","","8720254855196","480","","","deny","manual","29.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-pre-workout-m3Tekengebied_1.jpg?v=1774381058","1","","","","","",""
"m3-pre-workout-strawberry-lemonade-no-cafein","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-pre-workout-m3Tekengebied4_988181c0-a874-4dc4-8fa0-8daa4b22697d.jpg?v=1774381058","2","","","","","",""
"m3-pre-workout-tropical-fruit-punch","Pré-Entraînement M3 - Tropical Fruit Punch","<p><strong>MB Nutrition Pré-Entraînement M3 – Nouvelle formule améliorée</strong></p><p>Le M3 Pre-Workout revisité avec une composition optimisée et des saveurs améliorées. Formulé avec de vraies poudres de fruits, adapté à tous vos objectifs sportifs.</p><ul><li>✓ Dosage élevé pour des résultats optimaux</li><li>✓ Saveur tropicale rafraîchissante aux poudres de fruits naturels</li><li>✓ Avec caféine pour la concentration et la vigilance*</li></ul><p><em>* Allégation UE approuvée : la caféine améliore la vigilance et la concentration.</em></p>","MB Nutrition","preworkout","","2026-04-02T16:50:24+02:00","Title","Default Title","","","","","8720254855233","480","","","deny","manual","29.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/Screenshot_2025-05-25_at_11.05.13.png?v=1754389995","1","","","","","",""
"m3-pre-workout-tropical-fruit-punch","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/Screenshot2025-05-25at11.04.53.png?v=1754389995","2","","","","","",""
"m4-pre-workout-blueberry","Pré-Entraînement M4 Extreme - Blueberry","<p><strong>Le pré-entraînement ultime pour les séances les plus intenses.</strong> Conçu pour les sportifs expérimentés qui veulent repousser leurs limites absolues.</p><ul><li>✓ Contient de la caféine pour la concentration et la vigilance*</li><li>✓ Formule avancée pour sportifs confirmés</li><li>✓ Recommandé à partir de 21 ans</li><li>✓ Saveur Blueberry intense et rafraîchissante</li></ul><p><em>* Allégation UE approuvée : la caféine améliore la vigilance et la concentration.</em></p>","MB Nutrition","preworkout","","2026-04-02T16:48:19+02:00","Title","Default Title","","","","","8720254825038","500","","","deny","manual","32.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/pwo-blueberry.jpg?v=1748160789","1","","","","","",""
"magnesium-complex","Complexe Magnésium","<p>Le <strong>MB Nutrition Magnésium</strong> soutient vos muscles, vos os et votre système nerveux. Il contribue également à réduire la fatigue et à améliorer la qualité du sommeil.*</p><ul><li>✓ Soutient la fonction musculaire normale</li><li>✓ Contribue à la solidité des os</li><li>✓ Aide à réduire la fatigue</li><li>✓ Soutient le système nerveux</li></ul><p><em>* Allégations de santé approuvées par l'UE pour le magnésium.</em></p>","MB Nutrition","magnesium","","2026-04-09T09:44:20+02:00","Title","Default Title","","","","","8720254855172","0","","","deny","manual","17.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/magnesiumTekengebied1.jpg?v=1748160489","1","","","","","",""
"magnesium-complex","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/magnesiumTekengebied4.jpg?v=1748160489","2","","","","","",""
"magnesium-complex","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/magnesium.jpg?v=1748160489","3","","","","","",""
"multivitamin","Multivitamines Complètes","<p>La formule multivitaminée complète de MB Nutrition – pour rester au top de votre forme chaque jour.</p><ul><li>✓ Plus d'énergie au quotidien</li><li>✓ Meilleure humeur et moins de stress</li><li>✓ Soutien de la mémoire et de la concentration</li><li>✓ Maintien de la force musculaire</li><li>✓ Système immunitaire renforcé</li></ul>","MB Nutrition","","","2026-04-09T09:44:18+02:00","Title","Default Title","","","","","8720254855622","0","","","deny","manual","19.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/multivitaminesTekengebied1.jpg?v=1748162661","1","","","","","",""
"multivitamin","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/multivitaminesTekengebied4.jpg?v=1748162661","2","","","","","",""
"multivitamin","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/multivitamines.jpg?v=1748162661","3","","","","","",""
"omega-3","Oméga 3 - Huile de Poisson (EPA & DHA)","<p>Les <strong>capsules MB Nutrition Oméga 3</strong> contiennent de l'EPA (18%) et du DHA (12%) – des acides gras essentiels pour la santé cardiovasculaire, cérébrale et articulaire. Un complément incontournable pour tout sportif.</p><ul><li>✓ Source naturelle d'EPA et DHA</li><li>✓ Contribue à la santé cardiovasculaire</li><li>✓ Soutient la fonction cérébrale</li><li>✓ Facilement digestible en capsule</li></ul>","MB Nutrition","omega3","","2026-04-09T09:44:18+02:00","Title","Default Title","","","","","8720254855189","0","","","deny","manual","15.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/omegaTekengebied1.jpg?v=1748160889","1","","","","","",""
"omega-3","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/omegaTekengebied4.jpg?v=1748160889","2","","","","","",""
"omega-3","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/omega-3_e13428b5-5301-475c-a103-dcd1759e5490.jpg?v=1748160889","3","","","","","",""
"pump","PUMP - L-Arginine 500mg","<p>Élevez votre entraînement avec <strong>PUMP</strong>, un complément à base de L-Arginine HCl. Chaque capsule contient 500mg de L-Arginine pure – un acide aminé semi-essentiel naturellement présent dans votre corps, populaire chez les sportifs de force.</p><ul><li>✓ 500mg de L-Arginine pure par capsule</li><li>✓ Sans additifs inutiles</li><li>✓ Favorise la synthèse des protéines</li></ul>","MB Nutrition","preworkout","","2026-04-09T09:44:19+02:00","Title","Default Title","","","","","8720254855240","0","","","deny","manual","18.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/pumpTekengebied1.jpg?v=1748162753","1","","","","","",""
"pump","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/pumpTekengebied4.jpg?v=1748162753","2","","","","","",""
"pump","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/pump_7e526f1c-afed-4884-84fe-411fb72c507b.jpg?v=1748162753","3","","","","","",""
"samurai-sauce","Sauce Samurai 0% Calories","<p><strong>Sans matières grasses – Sans sucre – Sans gluten ni lactose</strong><br>Seulement 4 calories par portion. La sauce qui relève tous vos plats sans saborder votre régime !</p><ul><li>✓ 0% matières grasses</li><li>✓ 0% sucre</li><li>✓ 4 calories seulement par portion</li><li>✓ Sans gluten ni lactose</li><li>✓ Parfaite pour les régimes et les sportifs</li></ul>","MB Nutrition","Sauce","","2023-12-04T10:14:36+01:00","Title","Default Title","","","","","5413285002358","0","","","deny","manual","4.50","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/samurai-saus_47ab63e8-cdbb-4086-8d96-135efc25e0bf.png?v=1748164551","1","","","","","",""
"secret-balance-burner","Pack Secret Balance + Secret Burner","<p>La combinaison idéale pour votre transformation physique. Le pack <strong>Secret Burner + Secret Balance</strong> vous aide à intégrer deux compléments puissants dans votre routine quotidienne. Grâce au glucomannane de Secret Balance, vous réduisez la sensation de faim et facilitez la gestion du poids*.</p><ul><li>✓ Duo puissant pour la gestion du poids</li><li>✓ S'intègre facilement à votre routine</li><li>✓ Économie exclusive en pack</li><li>✓ Adaptable à vos objectifs personnels</li></ul><p><em>*Le glucomannane contribue au contrôle du poids lors d'une prise de 3g/jour en 3 doses avec de l'eau avant les repas, dans le cadre d'un régime hypocalorique.</em></p>","MB Nutrition","","","2026-03-23T19:45:45+01:00","Title","Default Title","","","","","","0","","","deny","manual","59.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/afvallen-combi.jpg?v=1774451842","1","","","","","",""
"secret-balance-red-fruits","Secret Balance - Fruits Rouges","<p>Découvrez <strong>Secret Balance</strong>, la nouvelle référence de MB Nutrition pour la gestion du poids. Contient du glucomannane, une fibre naturelle qui se dilate dans l'estomac pour favoriser la satiété*. Moins de fringales, plus de résultats.</p><ul><li>✓ Soutient la perte de poids*</li><li>✓ Le glucomannane favorise la sensation de satiété</li><li>✓ Sans stimulants – peut être pris le soir</li><li>✓ Saveur Fruits Rouges délicieuse et rafraîchissante</li></ul><p><em>*Le glucomannane contribue au contrôle du poids dans le cadre d'un régime hypocalorique.</em></p>","MB Nutrition","","","2025-08-22T11:33:32+02:00","Title","Default Title","","","","","8720254825151","280","","","deny","manual","31.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/secret-balanceTekengebied1.jpg?v=1755713727","1","","","","","",""
"secret-balance-red-fruits","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/secret-balanceTekengebied2.jpg?v=1755713727","2","","","","","",""
"secret-balance-red-fruits","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/secret-balanceTekengebied3.jpg?v=1755713728","3","","","","","",""
"secret-balance-red-fruits","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/secret-balanceTekengebied4.jpg?v=1755713727","4","","","","","",""
"secret-burner-citrus-berries-300gr","Secret Burner - Citrus Berries 300g","<p>Le <strong>MB Nutrition Secret Burner</strong> – notre brûleur de graisses le plus populaire. Une composition soigneusement élaborée pour s'intégrer dans votre routine quotidienne et soutenir vos objectifs minceur.</p><ul><li>✓ Saveur Citrus Berries rafraîchissante et unique</li><li>✓ Pratique – 1 mois de stock complet</li><li>✓ Commencez avec une demi-dose pour vous habituer</li><li>✓ Ne pas prendre à jeun</li></ul>","MB Nutrition","fatburner","","2026-03-24T20:47:26+01:00","Title","Default Title","","","","","secretburner-citrusberries","300","","","deny","manual","29.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-secret-burner-citrus-berriesTekengebied1.jpg?v=1748159891","1","","","","","",""
"secret-burner-citrus-berries-300gr","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-secret-burner-citrus-berriesTekengebied4.jpg?v=1748172242","2","","","","","",""
"sleep-shredder","Sleep Shredder - Framboise Rose","<p>Le <strong>Sleep Shredder</strong> de MB Nutrition – le complément idéal pour optimiser votre routine nocturne. Des ingrédients soigneusement sélectionnés pour soutenir votre corps pendant votre récupération.</p><ul><li>✓ Spécialement conçu pour le soir</li><li>✓ S'intègre dans un mode de vie équilibré</li><li>✓ Saveur Framboise Rose agréable</li><li>✓ Facile à combiner avec votre routine du coucher</li></ul>","MB Nutrition","sleepshredder","","2024-02-12T15:46:32+01:00","Title","Default Title","","","","","8720254855530","0","","","deny","manual","29.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-sleepshredderTekengebied1.jpg?v=1748166389","1","","","","","",""
"sleep-shredder","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-sleepshredderTekengebied2.jpg?v=1748166389","2","","","","","",""
"sleep-shredder","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-sleepshredderTekengebied3.jpg?v=1748166389","3","","","","","",""
"sleep-shredder","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-sleepshredderTekengebied4.jpg?v=1748166389","4","","","","","",""
"sleep-shredder","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/sleep-shredder_f90fbe17-5f8c-4451-a601-77892f344630.jpg?v=1748166389","5","","","","","",""
"starter-pack","Starter Pack - Pack de Démarrage","<p>Le <strong>Starter Pack</strong> idéal pour démarrer votre transformation physique. Combine le <strong>Pré-Entraînement M3</strong> avec caféine* et la <strong>Whey Protein Pro</strong> pour maximiser vos séances et votre récupération. Parfait pour les débutants comme pour les confirmés.</p><ul><li>✓ Caféine pour la concentration et la vigilance en entraînement*</li><li>✓ Protéines pour la croissance et le maintien musculaire**</li><li>✓ Plusieurs saveurs disponibles</li><li>✓ Économie exclusive vs achat séparé</li></ul><p><em>* Allégation UE : la caféine améliore la vigilance et la concentration.<br>** Allégation UE : les protéines contribuent à la croissance et au maintien de la masse musculaire.</em></p>","MB Nutrition","Bundle","","2026-04-09T09:47:19+02:00","Pre Workout M3 (flavor)","Tropical Fruit Punch","","","","","","0","","","deny","manual","49.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/starterpack_44647d83-cead-4228-b6bd-e6c1256b0efe.jpg?v=1755945355","1","","","","","",""
"starter-pack","","","","","","","Pre Workout M3 (flavor)","Strawberry Lemonade Cafein-Free","","","","","","0","","","deny","manual","49.95","","","true","","","","","","","","",""
"teriyaki-sauce","Sauce Teriyaki 0% Calories","<p><strong>Sans matières grasses – Sans sucre – Sans lactose</strong><br>Seulement 5 calories par portion. La saveur teriyaki authentique sans aucun compromis sur votre alimentation !</p><ul><li>✓ 0% matières grasses</li><li>✓ 0% sucre</li><li>✓ 5 calories seulement par portion</li><li>✓ Sans lactose</li><li>✓ Saveur teriyaki authentique et gourmande</li></ul>","MB Nutrition","Sauce","","2025-05-13T12:12:52+02:00","Title","Default Title","","","","","5413285002341","0","","","deny","manual","4.50","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/Screenshot2025-05-25at11.12.59.png?v=1748164388","1","","","","","",""
"towel","Serviette MB Nutrition","<p>La serviette officielle <strong>MB Nutrition</strong> – conçue pour les séances les plus intenses. Absorbante, à séchage rapide et arborant fièrement le logo MB Nutrition pour afficher vos couleurs à la salle.</p><ul><li>✓ Matière absorbante haute performance</li><li>✓ Séchage ultra rapide</li><li>✓ Douce et confortable</li><li>✓ Disponible en deux tailles (S et L)</li><li>✓ Idéale pour le sport et le quotidien</li></ul>","MB Nutrition","accessoires","","2026-04-09T09:44:17+02:00","Size","Large","","","","","08720254825045","300","","","deny","manual","11.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/WhatsAppImage2025-02-06at11.23.18.jpg?v=1738840452","1","","","","","",""
"towel","","","","","","","Size","Small","","","","","08720254825052","250","","","deny","manual","7.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/WhatsAppImage2025-02-06at11.23.20.jpg?v=1738840453","2","","","","","",""
"towel","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/WhatsAppImage2025-02-06at11.23.21.jpg?v=1738840452","3","","","","","",""
"whey-protein-pro-450g","Whey Protein Pro 450g","<p>La <strong>Whey Protein Pro</strong> de MB Nutrition – une protéine de lactosérum premium pour soutenir votre progression. Facile à mélanger, sans grumeaux, disponible en 7 saveurs irrésistibles.</p><ul><li>✓ Soutient la croissance et le maintien musculaire*</li><li>✓ Profil complet en acides aminés essentiels</li><li>✓ 7 saveurs disponibles pour ne jamais vous lasser</li><li>✓ Sans grumeaux – mélange parfait</li><li>✓ Source de protéines de haute qualité</li></ul><p><em>* Allégation UE : les protéines contribuent à la croissance et au maintien de la masse musculaire.</em></p>","MB Nutrition","Proteine","","2026-04-09T09:24:46+02:00","Flavor","Banana","","","","","8720254855271","900","","","deny","manual","22.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-mb-whey-protein-pro-bananaTekengebied1.jpg?v=1750095413","1","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-mb-whey-protein-pro-bananaTekengebied1.jpg?v=1750095413","","",""
"whey-protein-pro-450g","","","","","","","Flavor","Milky Chocolate","","","","","8720254855295","900","","","deny","manual","22.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-mb-whey-protein-pro-bananaTekengebied2.jpg?v=1750095414","2","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-whey-protein-milky-chocolateTekengebied1.jpg?v=1750095425","","",""
"whey-protein-pro-450g","","","","","","","Flavor","Iced Coffee","","","","","8720254855592","900","","","deny","manual","22.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-mb-whey-protein-pro-bananaTekengebied3.jpg?v=1750095414","3","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-whey-protein-iced-coffeeTekengebied1.jpg?v=1750095419","","",""
"whey-protein-pro-450g","","","","","","","Flavor","Strawberry","","","","","8720254855318","900","","","deny","manual","22.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-mb-whey-protein-pro-bananaTekengebied4.jpg?v=1750095413","4","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-whey-protein-proTekengebied_1_14bd8ab5-da02-476a-808f-fc831b07f1d7.jpg?v=1750095527","","",""
"whey-protein-pro-450g","","","","","","","Flavor","Vanilla","","","","","8720254855332","900","","","deny","manual","22.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-whey-protein-iced-coffeeTekengebied1.jpg?v=1750095419","5","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-whey-protein-proTekengebied1.jpg?v=1750095426","","",""
"whey-protein-pro-450g","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-whey-protein-iced-coffeeTekengebied2.jpg?v=1750095418","6","","","","","",""
"whey-protein-pro-450g","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-whey-protein-iced-coffeeTekengebied3.jpg?v=1750095419","7","","","","","",""
"whey-protein-pro-450g","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-whey-protein-iced-coffeeTekengebied4.jpg?v=1750095418","8","","","","","",""
